"country","natoCountries_yearJoined"
"United States",1949
"Turkey",1952
"Germany",1955
"United Kingdom",1949
"France",1949
"Italy",1949
"Spain",1982
"Canada",1949
"Poland",1999
"Romania",2004
"Netherlands",1949
"Belgium",1949
"Czech Republic",1999
"Sweden",2024
"Portugal",1949
"Greece",1952
"Hungary",1999
"Bulgaria",2004
"Denmark",1949
"Finland",2023
"Norway",1949
"Slovakia",2004
"Croatia",2009
"Lithuania",2004
"Albania",2009
"Slovenia",2004
"Latvia",2004
"North Macedonia",2020
"Estonia",2004
"Luxembourg",1949
"Montenegro",2017
"Iceland",1949
