"","Text","Types","Tokens","Sentences","date"
"1","1",102,128,5,"2023-11-08"
"2","2",171,235,10,"2023-11-08"
"3","3",126,175,7,"2023-11-08"
"4","4",218,348,16,"2023-11-07"
"5","5",329,535,26,"2023-11-07"
"6","6",70,86,3,"2023-11-07"
"7","7",12,15,2,"2023-11-07"
"8","8",61,75,2,"2023-11-07"
"9","9",58,76,6,"2023-11-07"
"10","10",43,59,4,"2023-11-07"
"11","11",78,93,4,"2023-11-07"
"12","12",51,56,4,"2023-11-07"
"13","13",48,64,3,"2023-11-07"
"14","14",55,69,6,"2023-11-07"
"15","15",45,58,3,"2023-11-07"
"16","16",8,8,1,"2023-11-07"
"17","17",56,69,4,"2023-11-06"
"18","18",22,23,1,"2023-11-06"
"19","19",31,37,2,"2023-11-06"
"20","20",8,8,1,"2023-11-06"
"21","22",75,95,5,"2023-11-06"
"22","23",19,23,3,"2023-11-06"
"23","24",27,29,3,"2023-11-06"
"24","25",11,11,1,"2023-11-06"
"25","26",14,15,1,"2023-11-06"
"26","27",179,256,21,"2023-11-06"
"27","28",50,57,1,"2023-11-06"
"28","30",65,82,6,"2023-11-06"
"29","31",63,80,5,"2023-11-06"
"30","32",56,64,3,"2023-11-06"
"31","33",43,48,1,"2023-11-06"
"32","34",9,9,1,"2023-11-06"
"33","35",79,100,8,"2023-11-05"
"34","36",54,70,5,"2023-11-05"
"35","39",85,106,5,"2023-11-05"
"36","40",95,130,8,"2023-11-05"
"37","41",27,30,1,"2023-11-05"
"38","43",29,34,5,"2023-11-05"
"39","44",19,20,2,"2023-11-05"
"40","45",188,310,14,"2023-11-05"
"41","47",91,120,5,"2023-11-05"
"42","48",138,171,6,"2023-11-05"
"43","52",80,105,7,"2023-11-05"
"44","53",94,114,9,"2023-11-05"
"45","54",58,72,7,"2023-11-05"
"46","55",60,73,5,"2023-11-05"
"47","56",56,63,4,"2023-11-05"
"48","57",76,97,5,"2023-11-05"
"49","59",62,77,5,"2023-11-04"
"50","60",77,99,4,"2023-11-04"
"51","61",211,297,13,"2023-11-04"
"52","62",134,194,16,"2023-11-04"
"53","63",30,35,2,"2023-11-04"
"54","66",29,35,3,"2023-11-04"
"55","67",191,296,11,"2023-11-04"
"56","68",1,1,1,"2023-11-04"
"57","69",8,8,1,"2023-11-04"
"58","70",57,69,4,"2023-11-04"
"59","71",59,70,6,"2023-11-04"
"60","72",134,198,10,"2023-11-04"
"61","73",74,94,6,"2023-11-03"
"62","74",112,157,7,"2023-11-03"
"63","75",98,132,6,"2023-11-03"
"64","78",68,88,5,"2023-11-03"
"65","80",7,7,1,"2023-11-03"
"66","81",46,50,2,"2023-11-03"
"67","82",28,31,2,"2023-11-03"
"68","83",79,108,5,"2023-11-03"
"69","84",47,55,4,"2023-11-03"
"70","85",13,13,2,"2023-11-03"
"71","86",41,44,4,"2023-11-02"
"72","87",26,27,1,"2023-11-02"
"73","88",92,118,4,"2023-11-02"
"74","89",117,153,9,"2023-11-02"
"75","90",33,38,4,"2023-11-02"
"76","91",127,163,8,"2023-11-02"
"77","92",139,195,10,"2023-11-02"
"78","93",15,16,1,"2023-11-02"
"79","94",24,26,2,"2023-11-02"
"80","95",32,36,3,"2023-11-02"
"81","96",5,5,1,"2023-11-01"
"82","97",52,66,5,"2023-11-01"
"83","98",78,103,5,"2023-11-01"
"84","99",31,32,3,"2023-11-01"
"85","100",79,105,5,"2023-11-01"
"86","101",161,214,11,"2023-11-01"
"87","102",77,95,5,"2023-11-01"
"88","104",24,26,3,"2023-11-01"
"89","105",38,42,4,"2023-11-01"
"90","106",171,249,20,"2023-11-01"
"91","108",70,99,5,"2023-11-01"
"92","109",68,89,4,"2023-11-01"
"93","110",133,179,10,"2023-11-01"
"94","111",64,72,4,"2023-11-01"
"95","112",54,64,5,"2023-11-01"
"96","113",71,88,6,"2023-11-01"
"97","114",53,78,4,"2023-11-01"
"98","115",32,32,2,"2023-10-31"
"99","116",11,11,1,"2023-10-31"
"100","118",25,28,1,"2023-10-31"
