geoname,lntitle,geoid,lnnumber,tot_est,tot_moe,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe
Alabama,Total,0400000US01,1,5054255,0,3926250,372,4940795,3182,3824460,2878
Alabama,Not Hispanic or Latino,0400000US01,2,4782615,387,3761015,342,4738430,2521,3721830,2141
Alabama,American Indian or Alaska Native Alone,0400000US01,3,13105,655,11085,606,13035,655,11015,607
Alabama,Asian Alone,0400000US01,4,71845,1289,56850,790,49070,1490,36435,1077
Alabama,Black or African American Alone,0400000US01,5,1316905,3348,998405,2046,1311185,3545,993790,2276
Alabama,Native Hawaiian or Other Pacific Islander Alone,0400000US01,6,1745,349,1405,303,1590,337,1265,289
Alabama,White Alone,0400000US01,7,3256250,31,2619235,117,3242005,1328,2606270,1163
Alabama,American Indian or Alaska Native and White,0400000US01,8,40075,799,32625,696,40070,799,32620,696
Alabama,Asian and White,0400000US01,9,17535,1252,10115,810,17040,1267,9720,813
Alabama,Black or African American and White,0400000US01,10,47240,2786,19395,1564,46955,2794,19165,1565
Alabama,American Indian or Alaska Native and Black or African American,0400000US01,11,4445,757,3770,641,4435,758,3770,641
Alabama,Remainder of Two or More Race Responses,0400000US01,12,13470,1552,8125,1077,13050,1523,7775,1054
Alabama,Hispanic or Latino,0400000US01,13,271640,387,165240,345,202360,2350,102630,2071
Alaska,Total,0400000US02,1,733970,0,555515,229,712030,1544,535555,1351
Alaska,Not Hispanic or Latino,0400000US02,2,681500,101,520935,216,663305,1224,504155,1162
Alaska,American Indian or Alaska Native Alone,0400000US02,3,100000,1805,68700,1257,99925,1805,68630,1255
Alaska,Asian Alone,0400000US02,4,46645,1311,37240,893,36390,1574,27795,1237
Alaska,Black or African American Alone,0400000US02,5,22235,1146,17840,922,21085,1140,16990,1013
Alaska,Native Hawaiian or Other Pacific Islander Alone,0400000US02,6,11165,531,7275,196,10200,596,6395,376
Alaska,White Alone,0400000US02,7,436920,7,352650,135,431525,684,347455,643
Alaska,American Indian or Alaska Native and White,0400000US02,8,33615,1640,22185,1113,33590,1639,22165,1114
Alaska,Asian and White,0400000US02,9,10725,1001,5185,654,10605,1003,5075,659
Alaska,Black or African American and White,0400000US02,10,7285,980,3470,775,7205,904,3415,680
Alaska,American Indian or Alaska Native and Black or African American,0400000US02,11,1370,426,625,271,1355,425,610,271
Alaska,Remainder of Two or More Race Responses,0400000US02,12,11545,1097,5755,635,11420,1084,5630,619
Alaska,Hispanic or Latino,0400000US02,13,52475,104,34580,126,48730,661,31400,513
Arizona,Total,0400000US04,1,7268175,0,5673395,211,6783900,6916,5220620,6122
Arizona,Not Hispanic or Latino,0400000US04,2,5012405,0,4111475,208,4861725,4594,3974765,3912
Arizona,American Indian or Alaska Native Alone,0400000US04,3,247620,2739,182400,1957,247140,2733,181920,1969
Arizona,Asian Alone,0400000US04,4,245970,3096,201670,2098,175615,3847,138025,2873
Arizona,Black or African American Alone,0400000US04,5,324045,4077,245795,2473,308080,4095,233305,2705
Arizona,Native Hawaiian or Other Pacific Islander Alone,0400000US04,6,13135,839,10380,601,11450,734,8970,565
Arizona,White Alone,0400000US04,7,3943775,33,3325565,33,3885310,3223,3270295,2857
Arizona,American Indian or Alaska Native and White,0400000US04,8,60870,2588,44205,1920,60765,2581,44100,1915
Arizona,Asian and White,0400000US04,9,65515,2900,39485,1991,63490,2876,37675,1969
Arizona,Black or African American and White,0400000US04,10,67690,3538,35765,1909,66885,3508,35030,1869
Arizona,American Indian or Alaska Native and Black or African American,0400000US04,11,7535,1183,4875,671,7510,1186,4850,676
Arizona,Remainder of Two or More Race Responses,0400000US04,12,36245,2640,21340,1732,35470,2605,20590,1694
Arizona,Hispanic or Latino,0400000US04,13,2255770,0,1561920,0,1922175,5790,1245855,5210
Arkansas,Total,0400000US05,1,3032650,0,2326770,405,2930235,3597,2234090,2785
Arkansas,Not Hispanic or Latino,0400000US05,2,2766820,250,2157680,352,2733540,1783,2129115,1296
Arkansas,American Indian or Alaska Native Alone,0400000US05,3,10910,679,8735,533,10880,683,8710,537
Arkansas,Asian Alone,0400000US05,4,47300,1246,36710,865,32145,1203,23590,984
Arkansas,Black or African American Alone,0400000US05,5,452135,2210,334050,1220,449720,2239,331935,1248
Arkansas,Native Hawaiian or Other Pacific Islander Alone,0400000US05,6,11975,825,7540,436,5535,744,2385,497
Arkansas,White Alone,0400000US05,7,2147915,30,1714220,30,2139640,1245,1706890,1033
Arkansas,American Indian or Alaska Native and White,0400000US05,8,41465,970,31455,738,41465,970,31455,738
Arkansas,Asian and White,0400000US05,9,12545,1078,6680,706,12200,1075,6460,702
Arkansas,Black or African American and White,0400000US05,10,30720,1967,11405,937,30335,1961,11045,945
Arkansas,American Indian or Alaska Native and Black or African American,0400000US05,11,2940,540,2110,393,2940,540,2110,393
Arkansas,Remainder of Two or More Race Responses,0400000US05,12,8920,1130,4780,630,8685,1110,4545,605
Arkansas,Hispanic or Latino,0400000US05,13,265835,252,169090,361,196695,2973,104975,2493
California,Total,0400000US06,1,39242785,0,30513775,581,34460010,33085,26040825,29907
California,Not Hispanic or Latino,0400000US06,2,23611955,0,19387020,577,21778395,16239,17722755,13721
California,American Indian or Alaska Native Alone,0400000US06,3,111165,1952,88820,1714,109585,1923,87380,1688
California,Asian Alone,0400000US06,4,5959720,8945,4888685,5680,4734490,12048,3766450,10741
California,Black or African American Alone,0400000US06,5,2132565,8203,1715145,5590,2068385,8042,1658255,5890
California,Native Hawaiian or Other Pacific Islander Alone,0400000US06,6,140150,2211,112175,1459,122030,2215,95705,1562
California,White Alone,0400000US06,7,13890140,32,11748285,32,13409360,8222,11316085,6951
California,American Indian or Alaska Native and White,0400000US06,8,187505,2164,149540,1754,186865,2155,148955,1767
California,Asian and White,0400000US06,9,608425,9064,330135,4957,580090,8830,308560,4899
California,Black or African American and White,0400000US06,10,285635,7366,163775,5088,277695,7187,157010,4774
California,American Indian or Alaska Native and Black or African American,0400000US06,11,33670,2339,26900,1719,33590,2327,26820,1704
California,Remainder of Two or More Race Responses,0400000US06,12,262980,5945,163560,3556,256300,5925,157530,3485
California,Hispanic or Latino,0400000US06,13,15630830,0,11126750,0,12681615,25205,8318075,23635
Colorado,Total,0400000US08,1,5810775,0,4569890,530,5521005,5557,4303430,4779
Colorado,Not Hispanic or Latino,0400000US08,2,4519695,0,3679190,529,4412460,3460,3582890,2892
Colorado,American Indian or Alaska Native Alone,0400000US08,3,22595,1049,18020,878,22465,1034,17890,869
Colorado,Asian Alone,0400000US08,4,186295,2096,151605,1524,139515,2381,109460,1845
Colorado,Black or African American Alone,0400000US08,5,223990,2994,173010,1897,208445,2879,159695,1928
Colorado,Native Hawaiian or Other Pacific Islander Alone,0400000US08,6,7875,692,6080,499,6705,748,5040,524
Colorado,White Alone,0400000US08,7,3889715,10,3214130,52,3850005,2309,3177575,2007
Colorado,American Indian or Alaska Native and White,0400000US08,8,44540,1087,35585,897,44440,1091,35485,896
Colorado,Asian and White,0400000US08,9,62470,1987,33640,1424,60090,1971,32005,1342
Colorado,Black or African American and White,0400000US08,10,52720,3075,28190,1771,51660,3036,27140,1736
Colorado,American Indian or Alaska Native and Black or African American,0400000US08,11,4925,835,3840,684,4925,835,3840,684
Colorado,Remainder of Two or More Race Responses,0400000US08,12,24570,1759,15090,1237,24215,1744,14760,1220
Colorado,Hispanic or Latino,0400000US08,13,1291080,0,890705,121,1108545,4426,720535,3927
Connecticut,Total,0400000US09,1,3598350,0,2864350,74,3351135,5866,2641585,4949
Connecticut,Not Hispanic or Latino,0400000US09,2,2957680,0,2419245,73,2810245,4364,2287320,3568
Connecticut,American Indian or Alaska Native Alone,0400000US09,3,3400,366,2545,312,3305,358,2465,306
Connecticut,Asian Alone,0400000US09,4,172090,1666,136085,1006,120490,2390,89945,1872
Connecticut,Black or African American Alone,0400000US09,5,364805,2628,286530,1880,332235,3634,257850,3027
Connecticut,Native Hawaiian or Other Pacific Islander Alone,0400000US09,6,1170,362,950,323,1150,360,930,318
Connecticut,White Alone,0400000US09,7,2320550,32,1939980,32,2260575,2867,1885430,2398
Connecticut,American Indian or Alaska Native and White,0400000US09,8,12460,370,9565,316,12435,368,9540,314
Connecticut,Asian and White,0400000US09,9,24125,1619,11560,953,23220,1588,10845,892
Connecticut,Black or African American and White,0400000US09,10,42645,2143,20760,1394,40765,2163,19285,1371
Connecticut,American Indian or Alaska Native and Black or African American,0400000US09,11,4320,862,3365,611,4285,853,3325,613
Connecticut,Remainder of Two or More Race Responses,0400000US09,12,12115,1218,7910,873,11790,1222,7700,887
Connecticut,Hispanic or Latino,0400000US09,13,640670,0,445105,0,540890,3975,354265,3422
Delaware,Total,0400000US10,1,1005870,0,795475,42,957285,2285,751520,1940
Delaware,Not Hispanic or Latino,0400000US10,2,898045,0,725985,41,872365,1738,702505,1377
Delaware,American Indian or Alaska Native Alone,0400000US10,3,1535,234,1415,230,1530,239,1405,229
Delaware,Asian Alone,0400000US10,4,41440,754,32680,473,29075,984,21160,668
Delaware,Black or African American Alone,0400000US10,5,217245,2235,165620,1353,209390,2872,158675,1883
Delaware,Native Hawaiian or Other Pacific Islander Alone,0400000US10,6,260,98,260,97,245,102,245,101
Delaware,White Alone,0400000US10,7,603150,30,506580,30,598795,579,502565,507
Delaware,American Indian or Alaska Native and White,0400000US10,8,4055,232,3180,228,4045,239,3180,228
Delaware,Asian and White,0400000US10,9,5765,751,3340,474,5415,760,3055,482
Delaware,Black or African American and White,0400000US10,10,17475,1981,8540,1238,17165,1949,8270,1206
Delaware,American Indian or Alaska Native and Black or African American,0400000US10,11,2290,530,1800,425,2250,509,1760,408
